Gene,Confidence,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YLR096W,0.178416,13,2558,1784,93,0.4040017985611511,0.005056398288603656,0.12264150943396226,0.5891294334408107,0.4108705665591893
YNL199C,0.178416,13,2557,1785,93,0.40422661870503596,0.005058365758754864,0.12264150943396226,0.5888991248272686,0.4111008751727315
YDR127W,0.178416,13,2556,1786,93,0.4044514388489209,0.00506033476060724,0.12264150943396226,0.5886688162137264,0.4113311837862736
YFL008W,0.177914,13,2555,1787,93,0.40467625899280574,0.0050623052959501555,0.12264150943396226,0.5884385076001842,0.41156149239981576
YLR353W,0.177914,13,2554,1788,93,0.40490107913669066,0.00506427736657577,0.12264150943396226,0.5882081989866421,0.4117918010133579
YJR005W,0.177651,13,2553,1789,93,0.4051258992805755,0.005066250974279034,0.12264150943396226,0.5879778903731,0.41202210962690006
YBL034C,0.177651,13,2552,1790,93,0.40535071942446044,0.0050682261208577,0.12264150943396226,0.5877475817595578,0.4122524182404422
YIR005W,0.177651,13,2551,1791,93,0.4055755395683453,0.005070202808112325,0.12264150943396226,0.5875172731460157,0.41248272685398435
YMR048W,0.177369,13,2550,1792,93,0.4058003597122302,0.005072181037846274,0.12264150943396226,0.5872869645324735,0.41271303546752647
YLR371W,0.177014,13,2549,1793,93,0.4060251798561151,0.00507416081186573,0.12264150943396226,0.5870566559189314,0.41294334408106864
YLR172C,0.176684,13,2548,1794,93,0.40625,0.005076142131979695,0.12264150943396226,0.5868263473053892,0.41317365269461076
YPL110C,0.176684,13,2547,1795,93,0.4064748201438849,0.005078125,0.12264150943396226,0.5865960386918471,0.41340396130815293
YDR179C,0.176684,13,2546,1796,93,0.4066996402877698,0.005080109417741305,0.12264150943396226,0.586365730078305,0.41363426992169505
YNL045W,0.176684,13,2545,1797,93,0.4069244604316547,0.0050820953870211105,0.12264150943396226,0.5861354214647628,0.4138645785352372
YPL177C,0.176684,13,2544,1798,93,0.40714928057553956,0.005084082909659757,0.12264150943396226,0.5859051128512206,0.41409488714877934
YKR078W,0.176684,13,2543,1799,93,0.4073741007194245,0.005086071987480438,0.12264150943396226,0.5856748042376785,0.4143251957623215
YLR427W,0.176684,13,2542,1800,93,0.40759892086330934,0.005088062622309198,0.12264150943396226,0.5854444956241364,0.41455550437586364
YOR363C,0.176684,13,2541,1801,93,0.40782374100719426,0.005090054815974941,0.12264150943396226,0.5852141870105942,0.4147858129894058
YDL036C,0.176684,13,2540,1802,93,0.4080485611510791,0.0050920485703094395,0.12264150943396226,0.584983878397052,0.41501612160294793
YHR201C,0.176684,13,2539,1803,93,0.40827338129496404,0.005094043887147335,0.12264150943396226,0.5847535697835099,0.4152464302164901
YML099C,0.176684,13,2538,1804,93,0.4084982014388489,0.005096040768326146,0.12264150943396226,0.5845232611699678,0.4154767388300322
YKL053C-A,0.176684,12,2538,1804,94,0.40827338129496404,0.004705882352941176,0.11320754716981132,0.5845232611699678,0.4154767388300322
YOR209C,0.176684,12,2537,1805,94,0.4084982014388489,0.004707728520988623,0.11320754716981132,0.5842929525564257,0.4157070474435744
YJL137C,0.176684,12,2536,1806,94,0.4087230215827338,0.004709576138147566,0.11320754716981132,0.5840626439428834,0.4159373560571165
YBR218C,0.176684,12,2535,1807,94,0.4089478417266187,0.004711425206124852,0.11320754716981132,0.5838323353293413,0.4161676646706587
YDL135C,0.176684,12,2534,1808,94,0.4091726618705036,0.004713275726630008,0.11320754716981132,0.5836020267157992,0.4163979732842008
YER098W,0.176684,12,2533,1809,94,0.40939748201438847,0.004715127701375246,0.11320754716981132,0.5833717181022571,0.416628281897743
YHL048W,0.176684,12,2532,1810,94,0.4096223021582734,0.0047169811320754715,0.11320754716981132,0.5831414094887148,0.4168585905112851
YGR178C,0.176684,12,2531,1811,94,0.40984712230215825,0.0047188360204482895,0.11320754716981132,0.5829111008751727,0.4170888991248273
YIR001C,0.176684,12,2530,1812,94,0.41007194244604317,0.004720692368214005,0.11320754716981132,0.5826807922616306,0.4173192077383694
YDR524C,0.176684,12,2529,1813,94,0.41029676258992803,0.004722550177095631,0.11320754716981132,0.5824504836480885,0.41754951635191156
YKR038C,0.176684,12,2528,1814,94,0.41052158273381295,0.004724409448818898,0.11320754716981132,0.5822201750345463,0.4177798249654537
YMR285C,0.176684,12,2527,1815,94,0.41074640287769787,0.004726270185112249,0.11320754716981132,0.5819898664210041,0.41801013357899586
YCL050C,0.176684,12,2526,1816,94,0.41097122302158273,0.004728132387706856,0.11320754716981132,0.581759557807462,0.418240442192538
YPR154W,0.176684,12,2525,1817,94,0.41119604316546765,0.004729996058336618,0.11320754716981132,0.5815292491939199,0.41847075080608015
YCL034W,0.176684,12,2524,1818,94,0.4114208633093525,0.00473186119873817,0.11320754716981132,0.5812989405803777,0.41870105941962227
YDL024C,0.176684,12,2523,1819,94,0.41164568345323743,0.004733727810650888,0.11320754716981132,0.5810686319668356,0.41893136803316444
YPR186C,0.176684,12,2522,1820,94,0.4118705035971223,0.004735595895816891,0.11320754716981132,0.5808383233532934,0.41916167664670656
YER024W,0.176684,12,2521,1821,94,0.4120953237410072,0.00473746545598105,0.11320754716981132,0.5806080147397513,0.41939198526024873
YER059W,0.176684,12,2520,1822,94,0.4123201438848921,0.004739336492890996,0.11320754716981132,0.5803777061262091,0.41962229387379085
YGL091C,0.176684,12,2519,1823,94,0.412544964028777,0.004741209008297116,0.11320754716981132,0.580147397512667,0.419852602487333
YOR110W,0.176684,12,2518,1824,94,0.41276978417266186,0.0047430830039525695,0.11320754716981132,0.5799170888991249,0.4200829111008752
YIL007C,0.176684,12,2517,1825,94,0.4129946043165468,0.004744958481613286,0.11320754716981132,0.5796867802855826,0.4203132197144173
YLR328W,0.176684,12,2516,1826,94,0.41321942446043164,0.004746835443037975,0.11320754716981132,0.5794564716720405,0.4205435283279595
YIR011C,0.176684,12,2515,1827,94,0.41344424460431656,0.004748713889988128,0.11320754716981132,0.5792261630584984,0.4207738369415016
YJL058C,0.176684,12,2514,1828,94,0.4136690647482014,0.004750593824228029,0.11320754716981132,0.5789958544449563,0.4210041455550438
YNL036W,0.176684,12,2513,1829,94,0.41389388489208634,0.004752475247524752,0.11320754716981132,0.578765545831414,0.4212344541685859
YDR191W,0.176684,12,2512,1830,94,0.4141187050359712,0.004754358161648178,0.11320754716981132,0.5785352372178719,0.4214647627821281
YNR072W,0.176348,12,2511,1831,94,0.4143435251798561,0.0047562425683709865,0.11320754716981132,0.5783049286043298,0.4216950713956702
YNL299W,0.176348,12,2510,1832,94,0.414568345323741,0.004758128469468675,0.11320754716981132,0.5780746199907877,0.42192538000921237
YGL044C,0.176348,12,2509,1833,94,0.4147931654676259,0.004760015866719556,0.11320754716981132,0.5778443113772455,0.4221556886227545
YPR079W,0.176348,12,2508,1834,94,0.41501798561151076,0.004761904761904762,0.11320754716981132,0.5776140027637033,0.42238599723629666
YGR249W,0.176348,12,2507,1835,94,0.4152428057553957,0.004763795156808257,0.11320754716981132,0.5773836941501612,0.4226163058498388
