Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/CE_OnlyPos_ps/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
Time for 100 Batches: 0.3733847260475159
100 Batch Cumulative Loss: 133.6334621310234
Time for 100 Batches: 0.37731595039367677
100 Batch Cumulative Loss: 131.28952664136887
Time for 100 Batches: 0.3777529954910278
100 Batch Cumulative Loss: 130.8554608821869
Time for 100 Batches: 0.37897798617680867
100 Batch Cumulative Loss: 131.75919342041016
Time for 100 Batches: 0.3761316100756327
100 Batch Cumulative Loss: 127.67993474006653
Time for 100 Batches: 0.37529228925704955
100 Batch Cumulative Loss: 130.53572475910187
Time for 100 Batches: 0.37593063910802205
100 Batch Cumulative Loss: 138.05405586957932
Time for 100 Batches: 0.3709872722625732
100 Batch Cumulative Loss: 129.55623710155487
Time for 100 Batches: 0.3781052549680074
100 Batch Cumulative Loss: 126.5814026594162
Time for 100 Batches: 0.3772351344426473
100 Batch Cumulative Loss: 131.3147367835045
Time for 100 Batches: 0.37483317057291665
100 Batch Cumulative Loss: 130.38909393548965
Time for 100 Batches: 0.37630083163579303
100 Batch Cumulative Loss: 123.39036047458649
Time for 100 Batches: 0.37981046040852867
100 Batch Cumulative Loss: 123.21590006351471
Time for 100 Batches: 0.3707429766654968
100 Batch Cumulative Loss: 123.42867684364319
Time for 100 Batches: 0.3783697684605916
100 Batch Cumulative Loss: 125.94671845436096
Time for 100 Batches: 0.3752368172009786
100 Batch Cumulative Loss: 122.01127153635025
Time for 100 Batches: 0.37290478150049844
100 Batch Cumulative Loss: 126.44696170091629
Time for 100 Batches: 0.3760517120361328
100 Batch Cumulative Loss: 117.19939595460892
Time for 100 Batches: 0.37522436380386354
100 Batch Cumulative Loss: 125.1755256652832
Time for 100 Batches: 0.3758979002634684
100 Batch Cumulative Loss: 124.01396131515503
Time for 100 Batches: 0.3742775599161784
100 Batch Cumulative Loss: 119.21443593502045
Time for 100 Batches: 0.37374014854431153
100 Batch Cumulative Loss: 124.70052075386047
Time for 100 Batches: 0.37756398916244505
100 Batch Cumulative Loss: 120.2130377292633
Time for 100 Batches: 0.37430609862009684
100 Batch Cumulative Loss: 126.63270801305771
Time for 100 Batches: 0.3737852692604065
100 Batch Cumulative Loss: 124.29609960317612
Time for 100 Batches: 0.3726146419843038
100 Batch Cumulative Loss: 123.76698833703995
Time for 100 Batches: 0.3788130243619283
100 Batch Cumulative Loss: 125.93033438920975
Time for 100 Batches: 0.37776197989781696
100 Batch Cumulative Loss: 125.37599229812622
Time for 100 Batches: 0.38086323738098143
100 Batch Cumulative Loss: 119.27747893333435
Time for 100 Batches: 0.37954806884129844
100 Batch Cumulative Loss: 126.47181242704391
Time for 100 Batches: 0.36966378688812257
100 Batch Cumulative Loss: 125.91807496547699
Time for 100 Batches: 0.3785562038421631
100 Batch Cumulative Loss: 120.76626491546631
Time for 100 Batches: 0.37486764987309773
100 Batch Cumulative Loss: 119.01889032125473
Time for 100 Batches: 0.3732391715049744
100 Batch Cumulative Loss: 122.03893679380417
Time for 100 Batches: 0.374371075630188
100 Batch Cumulative Loss: 113.867844581604
Time for 100 Batches: 0.36708455085754393
100 Batch Cumulative Loss: 120.66856759786606
Time for 100 Batches: 0.37372097571690877
100 Batch Cumulative Loss: 117.67790669202805
Time for 100 Batches: 0.37540217240651447
100 Batch Cumulative Loss: 115.506951212883
Time for 100 Batches: 0.3754501938819885
100 Batch Cumulative Loss: 120.77353632450104
Time for 100 Batches: 0.3799439549446106
100 Batch Cumulative Loss: 114.14787089824677
Time for 100 Batches: 0.37369829416275024
100 Batch Cumulative Loss: 124.79824978113174
Time for 100 Batches: 0.3796576897303263
100 Batch Cumulative Loss: 120.2029088139534
Time for 100 Batches: 0.3799597183863322
100 Batch Cumulative Loss: 115.24755990505219
Time for 100 Batches: 0.3821678121884664
100 Batch Cumulative Loss: 119.59057456254959
Time for 100 Batches: 0.37242018381754555
100 Batch Cumulative Loss: 119.11231875419617
Time for 100 Batches: 0.37472072839736936
100 Batch Cumulative Loss: 121.9237808585167
Time for 100 Batches: 0.375320565700531
100 Batch Cumulative Loss: 122.40435844659805
Time for 100 Batches: 0.3814600308736165
100 Batch Cumulative Loss: 122.7954009771347
Time for 100 Batches: 0.3756507635116577
100 Batch Cumulative Loss: 117.83516591787338
Time for 100 Batches: 0.37684035698572793
