File Name,Mean,Standard Deviation
Gasch_2001_PMID_11598186\2010.DNAdamage.pcl,0.0160330759752725,0.1867008674462046
Ideker_2001_PMID_11340206\2010.Ideker01.flt.knn.avg.pcl,0.0535122635954757,0.3462822593565878
Keller_2001_PMID_11504737\2010.Keller01.flt.knn.avg.pcl,0.1387647759137874,0.9908551313140376
Kuhn_2001_PMID_11154278\2010.Kuhn01.flt.knn.avg.pcl,6.0734888241305925e-05,0.08137963317027
Protchenko_2001_PMID_11673473\2010.Protchenko01.flt.knn.avg.pcl,0.0028450586266037,0.8851169115203285
Chitikila_2002_PMID_12419230\2010.Chitikila02.flt.knn.avg.pcl,0.0166233002393847,0.3772101838866986
Clark_2002_PMID_11988574\2010.Clark02_orig.flt.knn.avg.pcl,0.0007938658416317,0.0292307634758211
Cohen_2002_PMID_12006656\2010.Cohen02.filter.flt.knn.avg.div.log.pcl,0.0242043377872888,0.4335095842541057
Fleming_2002_PMID_11830665\2010.Fleming99.log.flt.knn.avg.pcl,0.0117309899364802,0.279294202452048
Huang_2002_PMID_12077337\2010.Huang02.flt.knn.avg.pcl,0.2183769558362167,0.3214440633857489
Kitagawa_2002_PMID_12269742\GSE9336_setA_family.pcl,0.0060258916749815,0.4646548267614202
Olesen_2002_PMID_12702272\2010.Olesen02.filter.flt.knn.avg.div.log.pcl,0.855785313334467,0.5897175572912021
Pramila_2002_PMID_12464633\GSE3635_setA_family.pcl,0.0112548920204876,0.3571440506678643
Pramila_2002_PMID_12464633\GSE5283_setA_family.pcl,0.013740743575687,0.3738218442435209
Smith_2002_PMID_12135984\2010.peroxisome.pcl,0.0233130415033567,0.5021812383342776
Wang_2002_PMID_11972065\GSE2986_setA_family.pcl,0.7620075603661512,0.5456929621882483
Williams_2002_PMID_12370439\2010.Williams02.filter.flt.knn.avg.div.log.pcl,0.0468192777782195,0.4918237196018428
Yoshimoto_2002_PMID_12058033\2010.Yoshimoto02_Ca.flt.knn.avg.pcl,0.0065488667541486,0.4355502887242152
Yoshimoto_2002_PMID_12058033\2010.Yoshimoto02_Na.flt.knn.avg.pcl,0.0042245138843949,0.6211929107816132
Bro_2003_PMID_12791685\2010.Bro03.filter.flt.knn.avg.div.log.pcl,0.0145220499215168,0.6303432078930696
Bulik_2003_PMID_14555471\2010.Bulik03.filter.flt.knn.avg.div.log.pcl,0.0242122462889117,0.4099319029867813
Duvel_2003_PMID_12820961\2010.Duvel03_delayedRap.flt.knn.avg.pcl,0.0157535058270856,0.3759105713933517
Duvel_2003_PMID_12820961\2010.Duvel03_immediateRap.flt.knn.avg.pcl,0.0137818167655615,0.4425445522429491
Fry_2003_PMID_12875747\2010.Fry03.filter.flt.knn.avg.div.log.pcl,0.0333023164556448,0.5523295262203213
Jones_2003_PMID_14570984\2010.Jones03_orig.flt.knn.avg.pcl,0.8311978031119256,0.8244442630902065
Kitagawa_2003_PMID_12854720\GSE9337_setA_family.pcl,0.0037200363566996,0.3381142144969981
Meneghini_2003_PMID_12628191\2010.swr1_htz1_hmr_sir2.pcl,0.011136213249022,0.2818472261736146
Segal_2003_PMID_12740579\2010.Segal03_HSkin82.flt.knn.avg.pcl,0.0225989388163934,0.4273773308246366
Segal_2003_PMID_12740579\2010.Segal03_hypo-osmoticPpt1.flt.knn.avg.pcl,0.0096162658454495,0.3863593005970882
Segal_2003_PMID_12740579\2010.Segal03_stationaryPhaseYPL230W.flt.knn.avg.pcl,0.0158877359492424,0.5868976730826251
Belli_2004_PMID_14722110\2010.Belli04.filter.flt.knn.avg.div.log.pcl,0.13412630288786,0.468411822119007
Cullen_2004_PMID_15256499\2010.glycosylation.pcl,0.7649192767944498,7.756057617105544
Daran-Lapujade_2004_PMID_14630934\GSE8895_setA_family.pcl,0.135731355588006,0.4338880551220622
De_Nadal_2004_PMID_14737171\2010.deNadal04.flt.knn.avg.pcl,0.0302365887009385,0.3579606210500626
Haugen_2004_PMID_15575969\2010.arsenic_deletions.pcl,0.0109620376720151,0.5862188205105032
Haugen_2004_PMID_15575969\2010.arsenic_time_dose.pcl,0.0048631045972075,0.8757145038871511
Huang_2004_PMID_15539461\2010.rapamycin.pcl,0.0117353844870673,0.6846885777892309
Jansen_2004_PMID_15066785\GSE8897_setA_family.pcl,0.1157337025097143,0.6176508927464706
Jin_2004_PMID_15528549\2010.Jin04.filter.flt.knn.avg.div.log.pcl,0.0296216220252476,0.6775621244339072
Klevecz_2004_PMID_14734811\GSE2583_setA_family.pcl,0.4177811138913915,0.5848030492897033
Leber_2004_PMID_15314654\2010.Leber04.flt.knn.avg.pcl,0.0091413206490632,0.4195714373114482
Martin_2004_PMID_15476558\2010.Martin04.filter.flt.knn.avg.div.log.pcl,0.0153361199549768,0.4940441450227983
Miyake_2004_PMID_15192094\2010.Miyake04.flt.knn.avg.pcl,0.0112350075857455,1.1103733861422032
Mizuguchi_2004_PMID_14645854\2010.swr1_htz1_ino80.pcl,0.0081939664497734,1.6253903598371269
Mnaimneh_2004_PMID_15242642\2010.EssentialGenes.pcl,0.0180718255417827,0.1734549676490813
O'Rourke_2004_PMID_14595107\2010.ORourke03.flt.knn.avg.pcl,0.0804343673638476,0.3184072714088046
Orlandi_2004_PMID_14623890\2010.Orlandi04.filter.flt.knn.avg.div.log.pcl,0.2056760246012166,0.9368549727582678
Pitkanen_2004_PMID_15520001\2010.Pitkanen04.filter.flt.knn.avg.div.log.pcl,0.0461637625105873,0.4293403963677563
Prinz_2004_PMID_14993204\2010.Prinz04.flt.knn.avg.pcl,0.01444404726528,0.3952159068344906
Rodriguez-Navarro_2004_PMID_14718168\2010.RodriguezNavarro04.filter.flt.knn.avg.div.log.pcl,0.9414172658278086,0.8044756403912953
Sabet_2004_PMID_15456858\2010.Sabet04.filter.flt.knn.avg.div.log.pcl,0.0708010189665347,0.3787089155829659
Saldanha_2004_PMID_15240820\2010.Saldanha04_LeucineBatchChem.flt.knn.avg.pcl,0.060497810700541,0.2940014304715633
Saldanha_2004_PMID_15240820\2010.Saldanha04_PhosphateBatchChem.flt.knn.avg.pcl,0.010367763551335,0.2844486334132759
Saldanha_2004_PMID_15240820\2010.Saldanha04_SulfateBatchChem.flt.knn.avg.pcl,0.0196371511828051,0.3917434173730204
Saldanha_2004_PMID_15240820\2010.Saldanha04_UracilBatchChem.flt.knn.avg.pcl,0.0178736836204187,0.3094800841383021
Saldanha_2004_PMID_15240820\2010.Saldanha04_UraSulPhoLeuComp.flt.knn.avg.pcl,0.0540188705765681,0.3415571416552157
