Gene,Label,Annos,Score,Background Score,Precision,Recall,False Positive Rate
YJR076C,-1,-/-,72.07739273458719,952.6958442926407,0.07155222158107329,0.47692307692307695,0.4758947057083703
YKL138C-A,-1,-/-,71.92611655592918,1002.0465400889516,0.07151095732410612,0.47692307692307695,0.47619047619047616
YIL077C,-1,-/-,71.29604233801365,941.4395858645439,0.07146974063400577,0.47692307692307695,0.4764862466725821
YPR029C,-1,-/+,71.2576428130269,986.1461493000388,0.07142857142857142,0.47692307692307695,0.476782017154688
YIL010W,-1,-/-,71.06229259818792,1050.911135725677,0.07138744962579159,0.47692307692307695,0.47707778763679387
YAR010C,-1,-/-,71.01580145955086,1010.8207908943295,0.0713463751438435,0.47692307692307695,0.47737355811889975
YCR020W-B,-1,-/-,70.71724562346935,1004.857909835875,0.07130534790109258,0.47692307692307695,0.47766932860100564
YCL074W,-1,-/-,70.66002272069454,1002.9848164096475,0.07126436781609195,0.47692307692307695,0.4779650990831115
YBL100W-B,-1,-/-,70.61225445568562,947.7660609260201,0.07122343480758185,0.47692307692307695,0.4782608695652174
YJL047C,-1,-/-,70.53609643131495,1175.728292606771,0.0711825487944891,0.47692307692307695,0.4785566400473233
YGL194C,-1,-/-,70.06347261369228,1108.7165820375085,0.07114170969592656,0.47692307692307695,0.4788524105294292
YDL220C,-1,-/-,70.01847207546234,1117.4685316681862,0.07110091743119266,0.47692307692307695,0.47914818101153506
YPL096C-A,-1,-/-,69.93710188567638,929.0585932433605,0.07106017191977078,0.47692307692307695,0.47944395149364094
YHR188C,-1,-/-,69.75484161823988,1024.860005043447,0.07101947308132875,0.47692307692307695,0.4797397219757468
YPL021W,-1,-/-,69.7173729389906,1047.8896397054195,0.07097882083571837,0.47692307692307695,0.4800354924578527
YHR079C-B,-1,-/-,69.64020073413849,1002.2247106805444,0.07093821510297482,0.47692307692307695,0.4803312629399586
YLR391W-A,-1,-/-,69.43832328915596,975.1693330109119,0.07089765580331618,0.47692307692307695,0.4806270334220645
YKR072C,-1,-/-,69.14594557136297,1208.9616528227925,0.07085714285714285,0.47692307692307695,0.48092280390417036
YCL060C,-1,-/-,68.49061818420887,952.7768908888102,0.07081667618503712,0.47692307692307695,0.48121857438627624
YDR018C,-1,-/-,68.29333784431219,899.4987808316946,0.07077625570776255,0.47692307692307695,0.4815143448683821
YBL005W-A,-1,-/-,67.70428628474474,982.1911882683635,0.07073588134626355,0.47692307692307695,0.481810115350488
YCR018C,-1,-/-,67.00893674045801,1039.3055383712053,0.07069555302166476,0.47692307692307695,0.4821058858325939
YLL013C,-1,-/-,66.8590272963047,1038.4224041253328,0.07065527065527065,0.47692307692307695,0.4824016563146998
YPL121C,-1,-/-,66.57888542860746,1021.9574330300093,0.07061503416856492,0.47692307692307695,0.48269742679680566
YPR042C,-1,-/-,66.56101520359516,978.7977205589414,0.07057484348321001,0.47692307692307695,0.48299319727891155
YER087C-B,1,+/+,66.21068359911442,921.183187879622,0.07110352673492605,0.4807692307692308,0.48299319727891155
YFL010W-A,-1,-/-,65.99021103233099,944.8587314337492,0.07106310403638431,0.4807692307692308,0.48328896776101743
YIL061C,-1,-/-,65.51652266830206,1078.6019445061684,0.07102272727272728,0.4807692307692308,0.4835847382431233
YGR042W,-1,-/-,65.41965374350548,901.3505770042539,0.0709823963657013,0.4807692307692308,0.4838805087252292
YDR210W-B,-1,-/-,65.38870733976364,896.4303241223097,0.07094211123723042,0.4807692307692308,0.4841762792073351
YCL003W,-1,-/-,65.06704837828875,913.2963648736477,0.07090187180941576,0.4807692307692308,0.484472049689441
YLR157C-B,-1,-/-,65.04884342849255,891.2889337092638,0.07086167800453515,0.4807692307692308,0.4847678201715469
YIL154C,-1,-/-,64.78404872119427,1004.5994730144739,0.0708215297450425,0.4807692307692308,0.4850635906536528
YGR056W,-1,-/-,64.70061621814966,970.4213613793254,0.07078142695356739,0.4807692307692308,0.48535936113575867
YPR158W-B,-1,-/-,64.42969711124897,886.7051564455032,0.07074136955291455,0.4807692307692308,0.48565513161786455
YDR261C-D,-1,-/-,64.31453920900822,883.4075791537762,0.07070135746606335,0.4807692307692308,0.48595090209997044
YPR158C-D,-1,-/-,64.18762478232384,881.8903014659882,0.07066139061616733,0.4807692307692308,0.4862466725820763
YDR316W-A,-1,-/-,64.1805748641491,884.5165247023106,0.07062146892655367,0.4807692307692308,0.4865424430641822
YPL257W-B,-1,-/-,64.17518772184849,885.5242237150669,0.07058159232072275,0.4807692307692308,0.4868382135462881
YHR214C-C,-1,-/-,63.83012056350708,902.2608439028263,0.07054176072234764,0.4807692307692308,0.487133984028394
YDR210W-D,-1,-/-,63.337664902210236,886.7273086309433,0.07050197405527354,0.4807692307692308,0.48742975451049986
YNL284C-A,-1,-/-,63.337664902210236,886.7273086309433,0.07046223224351747,0.4807692307692308,0.48772552499260574
YKL035W,-1,-/-,63.296196069568396,645.2295903749764,0.07042253521126761,0.4807692307692308,0.4880212954747116
YPR158W-A,-1,-/-,63.21722297370434,898.8695858865976,0.07038288288288289,0.4807692307692308,0.4883170659568175
YKL070W,-1,-/-,62.92663399875164,888.2515526041389,0.07034327518289252,0.4807692307692308,0.4886128364389234
YKR095W-A,-1,-/-,62.83569826930761,862.7045731171966,0.0703037120359955,0.4807692307692308,0.4889086069210293
YIL017W,-1,-/-,62.568150356411934,857.9418625086546,0.07026419336706015,0.4807692307692308,0.48920437740313516
YPR158C-C,-1,-/-,62.370713263750076,877.7032916992903,0.0702247191011236,0.4807692307692308,0.48950014788524104
YBR090C-A,-1,-/-,62.01788584142923,820.2844999209046,0.07018528916339135,0.4807692307692308,0.4897959183673469
YCL075W,-1,-/-,61.65604344755411,864.1364753320813,0.07014590347923681,0.4807692307692308,0.4900916888494528
YEL020W-A,1,+/+,61.545041635632515,872.9798666536808,0.07066741446999439,0.4846153846153846,0.4900916888494528
YML033W,-1,-/-,60.44053389132023,832.3643140718341,0.07062780269058296,0.4846153846153846,0.4903874593315587
YBR012W-A,-1,-/-,59.7770044952631,905.7971345409751,0.07058823529411765,0.4846153846153846,0.4906832298136646
YDR516C,-1,-/-,59.48509592190385,589.7110800743103,0.07054871220604703,0.4846153846153846,0.49097900029577046
YHR072W-A,-1,-/-,58.84201481938362,836.0789542496204,0.07050923335198657,0.4846153846153846,0.49127477077787635
YLR337W,-1,-/-,58.037183448672295,779.4376974776387,0.07046979865771812,0.4846153846153846,0.49157054125998223
YGL183C,-1,-/-,57.36348521709442,968.8734061047435,0.07043040804918949,0.4846153846153846,0.4918663117420881
YIR015W,-1,-/-,56.85973705351353,926.2981339097023,0.07039106145251396,0.4846153846153846,0.49216208222419405
YGL210W-A,-1,-/-,56.59962768107653,803.6675369441509,0.07035175879396985,0.4846153846153846,0.49245785270629994
YPL276W,-1,-/-,56.23702286928892,842.9365278407931,0.0703125,0.4846153846153846,0.4927536231884058
YDR488C,-1,-/-,55.97530526667833,552.7905890829861,0.07027328499721137,0.4846153846153846,0.4930493936705117
YCL012W,-1,-/-,54.350731298327446,770.4310248941183,0.07023411371237458,0.4846153846153846,0.4933451641526176
YHR039C-B,-1,-/-,53.55411134660244,715.1487842872739,0.0701949860724234,0.4846153846153846,0.49364093463472347
YPR154W,-1,-/-,52.97873256728053,461.33080668002367,0.07015590200445435,0.4846153846153846,0.49393670511682936
YJL012C-A,-1,-/-,51.98289465904236,701.567804761231,0.07011686143572621,0.4846153846153846,0.49423247559893524
YPL087W,-1,-/-,51.63890563696623,554.9637558162212,0.07007786429365963,0.4846153846153846,0.4945282460810411
YLR391W,-1,-/-,48.61215514689684,690.7621467486024,0.07003891050583658,0.4846153846153846,0.494824016563147
YLR035C-A,-1,-/-,48.54528419673443,697.6844697892666,0.07,0.4846153846153846,0.4951197870452529
YGL192W,-1,-/-,46.80517319962382,549.1384079158306,0.0699611327040533,0.4846153846153846,0.4954155575273588
YIR041W,-1,-/-,45.735620710998774,480.5038701891899,0.06992230854605994,0.4846153846153846,0.49571132800946466
YGR038C-B,-1,-/-,43.16553644835949,592.2268022596836,0.06988352745424292,0.4846153846153846,0.49600709849157054
YLR227W-B,-1,-/-,43.16465720534325,594.0930911451578,0.06984478935698447,0.4846153846153846,0.4963028689736764
YGR161C-D,-1,-/-,43.07517808675766,592.162475168705,0.06980609418282549,0.4846153846153846,0.4965986394557823
YGR109W-B,-1,-/-,42.78833146393299,604.8993207216263,0.06976744186046512,0.4846153846153846,0.4968944099378882
YOR142W-B,-1,-/-,42.645279586315155,587.4974314570427,0.06972883231876037,0.4846153846153846,0.4971901804199941
