Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YMR112C,-1,-/-,-520.4827823638916,-19509.086092948914,106,0.13492822966507176,0.4828767123287671,0.19639365631110145
YBR208C,0,0/0,-520.513768851757,-31679.34554874897,424,0.13492822966507176,0.4828767123287671,0.19639365631110145
YPL246C,0,0/0,-520.5233346819878,-33439.37622243166,424,0.13492822966507176,0.4828767123287671,0.19639365631110145
YFR047C,-1,-/-,-520.5831882953644,-19838.132041931152,106,0.13479923518164436,0.4828767123287671,0.19661090593091463
YHR086W,-1,-/-,-520.5853877067566,-19442.601640701294,106,0.1346704871060172,0.4828767123287671,0.19682815555072777
YLR287C-A,-1,0/-,-520.6154252886772,-31040.905197128654,424,0.13454198473282442,0.4828767123287671,0.19704540517054095
YGR189C,-1,0/-,-520.6530473232269,-32955.500646322966,424,0.1344137273593899,0.4828767123287671,0.19726265479035412
YGL004C,-1,-/-,-520.6802736520767,-20760.35975062847,106,0.13428571428571429,0.4828767123287671,0.19747990441016727
YOR247W,-1,0/-,-520.828575015068,-33909.42291125655,424,0.13415794481446242,0.4828767123287671,0.19769715402998045
YKL206C,0,-/0,-520.8658981323242,-19681.598613500595,106,0.13415794481446242,0.4828767123287671,0.19769715402998045
YOR075W,-1,-/-,-520.9176783561707,-19518.953826904297,106,0.13403041825095058,0.4828767123287671,0.19791440364979362
YEL002C,-1,-/-,-520.9192459583282,-19086.944840192795,106,0.1339031339031339,0.4828767123287671,0.19813165326960677
YIL018W,-1,-/-,-521.041782617569,-20230.78606390953,106,0.13377609108159394,0.4828767123287671,0.19834890288941995
YLR353W,-1,-/-,-521.076807975769,-20439.337577342987,106,0.13364928909952606,0.4828767123287671,0.1985661525092331
YER117W,-1,-/-,-521.1230580806732,-19869.507085084915,106,0.13352272727272727,0.4828767123287671,0.19878340212904627
YDR236C,-1,-/-,-521.1669497489929,-18911.793773412704,106,0.13339640491958374,0.4828767123287671,0.19900065174885945
YFR041C,-1,-/-,-521.2737288475037,-20197.870606422424,106,0.1332703213610586,0.4828767123287671,0.1992179013686726
YOR157C,-1,-/-,-521.3022494316101,-19768.615981578827,106,0.13314447592067988,0.4828767123287671,0.19943515098848577
YKL126W,-1,-/-,-521.3144016265869,-20839.98206758499,106,0.1330188679245283,0.4828767123287671,0.19965240060829895
YDL053C,0,0/0,-521.340944647789,-32892.62486040592,424,0.1330188679245283,0.4828767123287671,0.19965240060829895
YHR073W,-1,-/-,-521.3697810173035,-19958.08020234108,106,0.13289349670122527,0.4828767123287671,0.1998696502281121
YKL062W,-1,-/-,-521.4561376571655,-19620.463563919067,106,0.1327683615819209,0.4828767123287671,0.20008689984792527
YLR097C,-1,-/-,-521.4976496696472,-20380.856355190277,106,0.13264346190028223,0.4828767123287671,0.20030414946773842
YKL184W,-1,0/-,-521.5191195607185,-32843.20241600275,424,0.1325187969924812,0.4828767123287671,0.2005213990875516
YGL237C,-1,0/-,-521.5655589699745,-34194.05018031597,424,0.1323943661971831,0.4828767123287671,0.20073864870736477
YGL119W,0,-/0,-521.654415845871,-20033.981149673462,106,0.1323943661971831,0.4828767123287671,0.20073864870736477
YLR429W,-1,-/-,-521.6575689315796,-18938.486878156662,106,0.13227016885553472,0.4828767123287671,0.20095589832717792
YFL017C,-1,0/-,-521.6926834583282,-33130.48672491312,424,0.13214620431115276,0.4828767123287671,0.2011731479469911
YOR245C,-1,-/-,-521.7076632976532,-20943.67449438572,106,0.13202247191011235,0.4828767123287671,0.20139039756680427
YIL109C,-1,-/-,-521.7228407859802,-19264.956427574158,106,0.13189897100093545,0.4828767123287671,0.20160764718661742
YOR322C,-1,-/-,-521.7399752140045,-19955.36187672615,106,0.13177570093457944,0.4828767123287671,0.2018248968064306
YCL057W,0,0/0,-521.7948995828629,-33446.58497208357,424,0.13177570093457944,0.4828767123287671,0.2018248968064306
YDR497C,-1,0/-,-521.8256965279579,-32758.11830753088,424,0.13165266106442577,0.4828767123287671,0.20204214642624374
YLR233C,-1,-/-,-521.8274335861206,-19924.24032473564,106,0.13152985074626866,0.4828767123287671,0.20225939604605692
YGL190C,-1,-/-,-522.0176339149475,-19325.800384521484,106,0.13140726933830382,0.4828767123287671,0.2024766456658701
YJL093C,-1,-/-,-522.0176947116852,-20312.907319307327,106,0.13128491620111732,0.4828767123287671,0.20269389528568324
YGR087C,0,0/0,-522.0220586061478,-31991.21572214365,424,0.13128491620111732,0.4828767123287671,0.20269389528568324
YDR486C,-1,-/-,-522.0653867721558,-20673.377144932747,106,0.13116279069767442,0.4828767123287671,0.20291114490549642
YNL270C,-1,-/-,-522.2584669589996,-19131.855292081833,106,0.13104089219330856,0.4828767123287671,0.2031283945253096
YPR125W,1,+/+,-522.2762260437012,-20335.845854759216,105,0.13184772516248838,0.4863013698630137,0.2031283945253096
YML124C,-1,-/-,-522.3764038085938,-20517.1289563179,106,0.13172541743970315,0.4863013698630137,0.20334564414512274
YER088C,-1,-/-,-522.3863713741302,-19133.88132405281,106,0.13160333642261354,0.4863013698630137,0.20356289376493591
YGL210W,-1,-/-,-522.5438451766968,-20184.845400333405,106,0.13148148148148148,0.4863013698630137,0.20378014338474906
YGL047W,-1,-/-,-522.7192535400391,-20498.517635583878,106,0.13135985198889916,0.4863013698630137,0.20399739300456224
YOR194C,-1,-/-,-522.8139204978943,-19858.50212407112,106,0.13123844731977818,0.4863013698630137,0.20421464262437541
YGL202W,0,0/0,-522.8295475840569,-32562.865523576736,424,0.13123844731977818,0.4863013698630137,0.20421464262437541
YDR247W,-1,-/-,-522.8502631187439,-19567.09729909897,106,0.13111726685133887,0.4863013698630137,0.20443189224418856
YCL030C,0,0/0,-522.9263483285904,-31725.683359712362,424,0.13111726685133887,0.4863013698630137,0.20443189224418856
YDR507C,-1,-/-,-522.9564836025238,-20520.45550084114,106,0.13099630996309963,0.4863013698630137,0.20464914186400174
YHL030W,-1,0/-,-522.9654074311256,-32763.198552638292,424,0.13087557603686636,0.4863013698630137,0.2048663914838149
YGR240C,-1,0/-,-522.9668636918068,-31589.93200533092,424,0.13075506445672191,0.4863013698630137,0.20508364110362806
YAR003W,-1,-/-,-522.9841301441193,-19222.70650076866,106,0.13063477460901565,0.4863013698630137,0.20530089072344124
YCL010C,-1,-/-,-523.1900918483734,-19445.84791493416,106,0.13051470588235295,0.4863013698630137,0.2055181403432544
YDR258C,1,+/+,-523.211345911026,-21159.773760318756,105,0.13131313131313133,0.4897260273972603,0.2055181403432544
YJL217W,0,0/0,-523.2350333929062,-32120.760459199548,424,0.13131313131313133,0.4897260273972603,0.2055181403432544
YLL006W,1,+/+,-523.2726837396622,-21360.9390386343,105,0.13211009174311927,0.4931506849315068,0.2055181403432544
YLL024C,-1,-/-,-523.2977678775787,-19021.3047144413,106,0.13198900091659027,0.4931506849315068,0.20573538996306756
YNL027W,-1,-/-,-523.3211069107056,-20527.924114465714,106,0.13186813186813187,0.4931506849315068,0.20595263958288074
YJL091C,-1,-/-,-523.3713464736938,-20262.864136099815,106,0.13174748398902103,0.4931506849315068,0.20616988920269388
YJL159W,-1,0/-,-523.4016311168671,-32086.28555482626,424,0.1316270566727605,0.4931506849315068,0.20638713882250706
YML010W,-1,-/-,-523.4306602478027,-19133.161399126053,106,0.13150684931506848,0.4931506849315068,0.20660438844232024
YOR085W,-1,-/-,-523.4655184745789,-19375.44486796856,106,0.13138686131386862,0.4931506849315068,0.20682163806213338
YFR043C,0,0/0,-523.4865729510784,-33987.93126168847,424,0.13138686131386862,0.4931506849315068,0.20682163806213338
YPL177C,-1,-/-,-523.6549777984619,-19567.90912413597,106,0.13126709206927986,0.4931506849315068,0.20703888768194656
YBR176W,-1,0/-,-523.6811048984528,-32607.95133215189,424,0.13114754098360656,0.4931506849315068,0.20725613730175974
YOL071W,1,-/+,-523.6873626708984,-21342.43673801422,106,0.13193812556869883,0.4965753424657534,0.20725613730175974
YDL145C,-1,-/-,-523.7694463729858,-19731.656260848045,106,0.1318181818181818,0.4965753424657534,0.20747338692157288
YKL018W,-1,-/-,-523.7808680534363,-19926.79249238968,106,0.13169845594913715,0.4965753424657534,0.20769063654138606
YJR094C,-1,-/-,-523.799078464508,-19440.467699289322,106,0.13157894736842105,0.4965753424657534,0.2079078861611992
YHR110W,-1,0/-,-523.8680068850517,-33112.74729465693,424,0.1314596554850408,0.4965753424657534,0.20812513578101238
YNL212W,0,0/0,-523.870131790638,-33305.12639480829,424,0.1314596554850408,0.4965753424657534,0.20812513578101238
YML027W,-1,-/-,-523.8847749233246,-19737.003874063492,106,0.13134057971014493,0.4965753424657534,0.20834238540082556
YJL029C,-1,-/-,-523.916660785675,-19837.8154027462,106,0.13122171945701358,0.4965753424657534,0.2085596350206387
YDR225W,-1,-/-,-523.9379637241364,-20476.410635590553,106,0.13110307414104883,0.4965753424657534,0.20877688464045188
YHR103W,-1,0/-,-524.0730147957802,-32296.050536751747,424,0.13098464317976513,0.4965753424657534,0.20899413426026506
YHR028C,-1,0/-,-524.079205095768,-34218.941240891814,424,0.13086642599277978,0.4965753424657534,0.2092113838800782
YKL121W,0,0/0,-524.1375806331635,-34055.48341163993,424,0.13086642599277978,0.4965753424657534,0.2092113838800782
YGR020C,-1,-/-,-524.1528551578522,-19267.069780111313,106,0.13074842200180342,0.4965753424657534,0.20942863349989138
YLR024C,-1,0/-,-524.256077349186,-33695.740358024836,424,0.13063063063063063,0.4965753424657534,0.20964588311970453
YDR386W,-1,-/-,-524.3111469745636,-19842.948173046112,106,0.13051305130513052,0.4965753424657534,0.2098631327395177
YER090W,0,0/0,-524.3569073081017,-31503.944827854633,424,0.13051305130513052,0.4965753424657534,0.2098631327395177
YKR037C,-1,-/-,-524.4132516384125,-19101.29329752922,106,0.1303956834532374,0.4965753424657534,0.21008038235933088
YLR066W,-1,-/-,-524.4194741249084,-19508.79434108734,106,0.1302785265049416,0.4965753424657534,0.21029763197914403
YOR198C,-1,-/-,-524.4263279438019,-20771.089831352234,106,0.13016157989228008,0.4965753424657534,0.2105148815989572
YBR245C,-1,-/-,-524.4541990756989,-20112.79842609167,106,0.13004484304932734,0.4965753424657534,0.21073213121877038
YDL010W,-1,0/-,-524.5222633481026,-33306.160602808,424,0.12992831541218638,0.4965753424657534,0.21094938083858353
YML055W,-1,-/-,-524.6580278873444,-19043.242352724075,106,0.12981199641897942,0.4965753424657534,0.2111666304583967
YOL145C,1,-/+,-524.7392983436584,-19554.763543128967,106,0.13059033989266547,0.5,0.2111666304583967
YDR532C,0,-/0,-524.8055913448334,-19524.248910665512,106,0.13059033989266547,0.5,0.2111666304583967
YPR068C,-1,-/-,-524.8813805580139,-20040.640196800232,106,0.13047363717605004,0.5,0.21138388007820985
YCR073W-A,-1,-/-,-524.8881061077118,-19937.87817144394,106,0.13035714285714287,0.5,0.21160112969802303
YNR032C-A,-1,-/-,-524.9755244255066,-18990.892502307892,106,0.1302408563782337,0.5,0.2118183793178362
YJR040W,-1,-/-,-525.1949310302734,-19335.214561223984,106,0.13012477718360071,0.5,0.21203562893764935
