Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/OnlyPos_Unreasonable_nonRandom/Original_x_b_113x250000x53_batch50_Train_/
./Yeast Resources/Pairwise/Spell/OnlyPos_Unreasonable_nonRandom/Original_x_b_113x250000x53_batch50_Test_/
Time for 100 Batches: 0.4669823090235392
100 Batch Cumulative Loss: 522.5404260158539
Time for 100 Batches: 0.4695479512214661
100 Batch Cumulative Loss: 532.1422758102417
Time for 100 Batches: 0.4718543847401937
100 Batch Cumulative Loss: 516.8133594989777
Time for 100 Batches: 0.4675986448923747
100 Batch Cumulative Loss: 514.5346834659576
Time for 100 Batches: 0.46669989029566444
100 Batch Cumulative Loss: 547.6691424846649
Time for 100 Batches: 0.46711554129918414
100 Batch Cumulative Loss: 504.0549793243408
Time for 100 Batches: 0.46987396478652954
100 Batch Cumulative Loss: 501.4807674884796
Time for 100 Batches: 0.47467085520426433
100 Batch Cumulative Loss: 565.3205742835999
Time for 100 Batches: 0.46951857805252073
100 Batch Cumulative Loss: 498.3003053665161
Time for 100 Batches: 0.4741301973660787
100 Batch Cumulative Loss: 501.694983959198
Time for 100 Batches: 0.4699258009592692
100 Batch Cumulative Loss: 490.67999172210693
Time for 100 Batches: 0.47171553373336794
100 Batch Cumulative Loss: 513.1680753231049
Time for 100 Batches: 0.4685489296913147
100 Batch Cumulative Loss: 499.54155564308167
Time for 100 Batches: 0.46760333379109703
100 Batch Cumulative Loss: 486.7536721229553
Time for 100 Batches: 0.4683982849121094
100 Batch Cumulative Loss: 499.7961163520813
Time for 100 Batches: 0.466606605052948
100 Batch Cumulative Loss: 472.24918699264526
Time for 100 Batches: 0.46944181124369305
100 Batch Cumulative Loss: 464.325626373291
Time for 100 Batches: 0.4647917588551839
100 Batch Cumulative Loss: 446.7316427230835
Time for 100 Batches: 0.4683032751083374
100 Batch Cumulative Loss: 499.0727286338806
Time for 100 Batches: 0.46737537781397503
100 Batch Cumulative Loss: 496.04535961151123
Time for 100 Batches: 0.4769885261853536
100 Batch Cumulative Loss: 490.8729190826416
Time for 100 Batches: 0.468803068002065
100 Batch Cumulative Loss: 475.97056555747986
Time for 100 Batches: 0.47297190030415853
100 Batch Cumulative Loss: 455.9542520046234
Time for 100 Batches: 0.46015087366104124
100 Batch Cumulative Loss: 463.111692905426
Time for 100 Batches: 0.46659923791885377
100 Batch Cumulative Loss: 458.8275909423828
Time for 100 Batches: 0.46845683256785076
100 Batch Cumulative Loss: 452.0910646915436
Time for 100 Batches: 0.47529836495717365
100 Batch Cumulative Loss: 488.7986705303192
Time for 100 Batches: 0.47198932568232216
100 Batch Cumulative Loss: 494.4375536441803
Time for 100 Batches: 0.4706783811251322
100 Batch Cumulative Loss: 459.95657777786255
Time for 100 Batches: 0.4711960156758626
100 Batch Cumulative Loss: 449.62324690818787
Time for 100 Batches: 0.4770459413528442
100 Batch Cumulative Loss: 466.5938045978546
Time for 100 Batches: 0.46649656295776365
100 Batch Cumulative Loss: 494.80043745040894
Time for 100 Batches: 0.46937694152196247
100 Batch Cumulative Loss: 481.1645522117615
Time for 100 Batches: 0.4710277557373047
100 Batch Cumulative Loss: 487.7225692272186
Time for 100 Batches: 0.46889724731445315
100 Batch Cumulative Loss: 476.398729801178
Time for 100 Batches: 0.4737646818161011
100 Batch Cumulative Loss: 461.36631298065186
Time for 100 Batches: 0.4671656648317973
100 Batch Cumulative Loss: 453.30309414863586
Time for 100 Batches: 0.4693260947863261
100 Batch Cumulative Loss: 431.68045926094055
Time for 100 Batches: 0.4697385668754578
100 Batch Cumulative Loss: 438.0160391330719
