Used 2009 Datasets
Initialized Expression Datasets
Intersection: 0
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Train_/
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Test_/
100 Batch Cumulative Loss: 296.91770815849304
Time for 100 Batches: 0.4049270947774251
100 Batch Cumulative Loss: 295.50260281562805
Time for 100 Batches: 0.4043094992637634
100 Batch Cumulative Loss: 293.16519236564636
Time for 100 Batches: 0.4035876234372457
100 Batch Cumulative Loss: 304.29603004455566
Time for 100 Batches: 0.4041425387064616
100 Batch Cumulative Loss: 300.67665791511536
Time for 100 Batches: 0.4070036172866821
100 Batch Cumulative Loss: 295.972234249115
Time for 100 Batches: 0.4074246962865194
100 Batch Cumulative Loss: 301.72285056114197
Time for 100 Batches: 0.40207770268122356
100 Batch Cumulative Loss: 304.7224106788635
Time for 100 Batches: 0.41182159980138144
100 Batch Cumulative Loss: 294.23459935188293
Time for 100 Batches: 0.40288341442743936
100 Batch Cumulative Loss: 296.05349230766296
Time for 100 Batches: 0.4018318970998128
100 Batch Cumulative Loss: 298.8487105369568
Time for 100 Batches: 0.40755706230799355
100 Batch Cumulative Loss: 301.8394329547882
Time for 100 Batches: 0.40624926090240476
100 Batch Cumulative Loss: 297.99944972991943
Time for 100 Batches: 0.4060255567232768
100 Batch Cumulative Loss: 301.1240131855011
Time for 100 Batches: 0.4053335666656494
100 Batch Cumulative Loss: 297.40317940711975
Time for 100 Batches: 0.4010262370109558
100 Batch Cumulative Loss: 297.19464659690857
Time for 100 Batches: 0.407365620136261
100 Batch Cumulative Loss: 296.7017683982849
Time for 100 Batches: 0.4029704570770264
100 Batch Cumulative Loss: 295.139799118042
Time for 100 Batches: 0.41068493127822875
100 Batch Cumulative Loss: 301.0407214164734
Time for 100 Batches: 0.40734493335088096
100 Batch Cumulative Loss: 299.50746488571167
Time for 100 Batches: 0.40666409333546955
100 Batch Cumulative Loss: 296.4032084941864
Time for 100 Batches: 0.4057396690050761
100 Batch Cumulative Loss: 300.07157158851624
Time for 100 Batches: 0.4018779397010803
100 Batch Cumulative Loss: 299.36233019828796
Time for 100 Batches: 0.40666664044062295
100 Batch Cumulative Loss: 300.98877573013306
Time for 100 Batches: 0.40466760794321693
100 Batch Cumulative Loss: 297.0234932899475
Time for 100 Batches: 0.40143138567606607
100 Batch Cumulative Loss: 298.8751299381256
Time for 100 Batches: 0.40544774929682414
100 Batch Cumulative Loss: 294.60951828956604
Time for 100 Batches: 0.4038128137588501
100 Batch Cumulative Loss: 294.9565050601959
Time for 100 Batches: 0.4058040698369344
100 Batch Cumulative Loss: 297.5029835700989
Time for 100 Batches: 0.40626816352208456
100 Batch Cumulative Loss: 291.50244212150574
Time for 100 Batches: 0.40769983530044557
100 Batch Cumulative Loss: 300.41991353034973
Time for 100 Batches: 0.4016474922498067
100 Batch Cumulative Loss: 296.2422866821289
Time for 100 Batches: 0.40674377282460533
100 Batch Cumulative Loss: 293.4142949581146
Time for 100 Batches: 0.404086164633433
100 Batch Cumulative Loss: 299.69753098487854
Time for 100 Batches: 0.4084675947825114
100 Batch Cumulative Loss: 296.4648926258087
Time for 100 Batches: 0.40744819641113283
100 Batch Cumulative Loss: 293.43855571746826
Time for 100 Batches: 0.40229090849558513
100 Batch Cumulative Loss: 298.8405544757843
Time for 100 Batches: 0.4073932727177938
100 Batch Cumulative Loss: 291.4845063686371
Time for 100 Batches: 0.4081158479054769
100 Batch Cumulative Loss: 295.31872844696045
Time for 100 Batches: 0.4017479101816813
100 Batch Cumulative Loss: 295.93684244155884
Time for 100 Batches: 0.4014859080314636
100 Batch Cumulative Loss: 297.25957775115967
Time for 100 Batches: 0.40933217604955036
100 Batch Cumulative Loss: 289.7417643070221
Time for 100 Batches: 0.40567586819330853
100 Batch Cumulative Loss: 296.53316020965576
Time for 100 Batches: 0.4037765701611837
100 Batch Cumulative Loss: 297.838415145874
Time for 100 Batches: 0.4097533186276754
100 Batch Cumulative Loss: 298.923921585083
Time for 100 Batches: 0.4038755178451538
100 Batch Cumulative Loss: 296.8083384037018
Time for 100 Batches: 0.40489312807718914
100 Batch Cumulative Loss: 298.55903124809265
Time for 100 Batches: 0.4048409620920817
100 Batch Cumulative Loss: 300.1422793865204
Time for 100 Batches: 0.40896331866582236
100 Batch Cumulative Loss: 296.98146748542786
Time for 100 Batches: 0.407187819480896
100 Batch Cumulative Loss: 298.18225169181824
Time for 100 Batches: 0.406118647257487
100 Batch Cumulative Loss: 290.16617584228516
Time for 100 Batches: 0.4055522839228312
100 Batch Cumulative Loss: 294.2702724933624
Time for 100 Batches: 0.40589894851048786
100 Batch Cumulative Loss: 289.31546425819397
Time for 100 Batches: 0.40581068992614744
100 Batch Cumulative Loss: 298.26367378234863
Time for 100 Batches: 0.40231175820032755
100 Batch Cumulative Loss: 294.0313649177551
Time for 100 Batches: 0.4061404267946879
100 Batch Cumulative Loss: 297.918625831604
Time for 100 Batches: 0.40794233481089276
100 Batch Cumulative Loss: 294.38473629951477
Time for 100 Batches: 0.4020497481028239
100 Batch Cumulative Loss: 289.6325173377991
Time for 100 Batches: 0.4083465298016866
100 Batch Cumulative Loss: 299.04474210739136
Time for 100 Batches: 0.40434540510177613
100 Batch Cumulative Loss: 292.88546681404114
Time for 100 Batches: 0.4013741811116536
100 Batch Cumulative Loss: 302.2388005256653
Time for 100 Batches: 0.3991267204284668
100 Batch Cumulative Loss: 303.1153199672699
Time for 100 Batches: 0.4025120258331299
100 Batch Cumulative Loss: 291.8402192592621
Time for 100 Batches: 0.4040592829386393
100 Batch Cumulative Loss: 296.72105526924133
Time for 100 Batches: 0.40419174830118815
100 Batch Cumulative Loss: 302.2618589401245
Time for 100 Batches: 0.4058302084604899
100 Batch Cumulative Loss: 297.1229074001312
Time for 100 Batches: 0.401451047261556
100 Batch Cumulative Loss: 296.7454240322113
Time for 100 Batches: 0.4124297142028809
100 Batch Cumulative Loss: 291.66157269477844
Time for 100 Batches: 0.401360821723938
100 Batch Cumulative Loss: 298.4323971271515
Time for 100 Batches: 0.4074540694554647
100 Batch Cumulative Loss: 298.766699552536
