Gene A,Gene B,Score
YGR144W,YGR084C,1.957689281486566e-29
YGR144W,YKL003C,1.4955857362499283e-25
YGR144W,YPR166C,1.947603416553031e-22
YGR144W,YDR405W,9.321684279364927e-27
YDR258C,YHL004W,1.7635366251666422e-16
YDR258C,YPL118W,2.1648000503738524e-14
YDR258C,YNL005C,5.384782833139537e-18
YDR258C,YHR091C,2.060235484749556e-15
YDR258C,YLR069C,1.0774554984860126e-26
YDR258C,YDR116C,1.1637605361497526e-16
YDR258C,YNL284C,5.862979340412804e-22
YDR258C,YDL202W,1.901384831645616e-14
YDR258C,YKR006C,1.580849359941299e-22
YDR258C,YLR312W-A,3.2326728675923042e-15
YDR258C,YBL038W,1.5087665846870858e-16
YDR258C,YNL252C,1.7275690968911184e-14
YDR258C,YNL185C,3.784558047096142e-22
YDR258C,YKL194C,1.9633428955517454e-22
YDR258C,YKR085C,9.01920601618581e-22
YDR258C,YNL177C,9.10498483150008e-19
YDR258C,YOR150W,7.152424788773505e-18
YDR258C,YDR268W,1.7762981823686531e-15
YDR258C,YMR193W,1.4829887892306747e-20
YDR258C,YGR076C,4.34854141975047e-16
YDR258C,YBR282W,5.937987761489465e-26
YDR258C,YNL081C,3.1158226078757646e-16
YDR258C,YDR462W,2.018825329130891e-09
YDR258C,YMR024W,4.0099118689209946e-26
YDR258C,YKL138C,9.856921266593777e-22
YDR258C,YCR003W,9.063855550287565e-18
YDR258C,YML025C,9.777997910052211e-14
YDR258C,YMR286W,7.056805226973717e-12
YDR258C,YDR322W,7.054334403014516e-18
YDR258C,YBR122C,5.10876176171733e-18
YDR258C,YBR268W,2.4821106248606748e-26
YDR258C,YKL170W,2.4405753869501493e-17
YDR258C,YOR335C,8.671610303675858e-20
YDR258C,YML009C,5.359025445628163e-10
YDR258C,YBR121C,2.608487980237398e-30
YDR258C,YPL173W,3.987748397611991e-18
YDR258C,YMR225C,2.8564407376962045e-14
YDR258C,YDR041W,4.0540730626154725e-17
YDR258C,YJL096W,2.9766293383055596e-19
YDR258C,YER050C,2.4180546454033447e-11
YDR258C,YNR022C,9.653932032846187e-21
YDR258C,YNR037C,4.399379844095788e-24
YDR258C,YPR100W,3.231040471321184e-18
YDR258C,YKL155C,6.601041521136383e-20
YDR258C,YHR147C,1.2866881171635924e-11
YDR258C,YGL129C,4.315128616959248e-16
YDR258C,YDR237W,5.6284640586298585e-30
YDR258C,YDR175C,4.417661690526585e-16
YDR258C,YJL063C,4.970281998473158e-13
YDR258C,YIL093C,2.601821215748461e-29
YDR258C,YJR101W,1.1852321174364767e-27
YDR258C,YOL023W,2.2756600970966507e-21
YDR258C,YGR215W,4.4399935156575976e-17
YDR258C,YPL040C,4.209382178322714e-17
YDR258C,YNR036C,8.172294162235905e-23
YDR258C,YMR282C,5.104643439473756e-21
YDR258C,YPL013C,2.491497015888163e-15
YDR258C,YMR188C,8.4032018271297645e-22
YDR258C,YJR113C,6.255974913672429e-17
YDR258C,YDR115W,1.5229918412917317e-16
YDR258C,YNL306W,3.8214301696961586e-17
