Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YNL180C,-1,8.475705020400502,151,3310,3117,5,0.4964301989974176,0.04362900895694886,0.967948717948718,0.5150147813910066,0.4849852186089933
YLL061W,-1,8.46685928913519,151,3311,3116,5,0.4962782925717758,0.043616406701328714,0.967948717948718,0.5151703749805508,0.4848296250194492
YJL100W,-1,8.462625615960338,151,3312,3115,5,0.49612638614613397,0.04360381172393878,0.967948717948718,0.5153259685700949,0.48467403142990506
YLR378C,-1,8.455780243750084,151,3313,3114,5,0.4959744797204922,0.043591224018475754,0.967948717948718,0.515481562159639,0.48451843784036097
YPL002C,-1,8.45335667488149,151,3314,3113,5,0.49582257329485036,0.04357864357864358,0.967948717948718,0.5156371557491831,0.4843628442508169
YGL126W,-1,8.44390135764276,151,3315,3112,5,0.4956706668692086,0.04356607039815349,0.967948717948718,0.5157927493387272,0.48420725066127274
YHL012W,-1,8.438184935745985,151,3316,3111,5,0.49551876044356674,0.04355350447072397,0.967948717948718,0.5159483429282714,0.48405165707172865
YDR085C,-1,8.4337672015103,151,3317,3110,5,0.49536685401792496,0.04354094579008074,0.967948717948718,0.5161039365178155,0.48389606348218456
YJL063C,-1,8.425540268419802,151,3318,3109,5,0.49521494759228313,0.04352839434995676,0.967948717948718,0.5162595301073596,0.4837404698926404
YAR009C,-1,8.424490822679475,151,3319,3108,5,0.49506304116664135,0.04351585014409222,0.967948717948718,0.5164151236969037,0.4835848763030963
YDR530C,-1,8.42231520534622,151,3320,3107,5,0.49491113474099957,0.043503313166234514,0.967948717948718,0.5165707172864478,0.4834292827135522
YHR083W,-1,8.420183610387998,151,3321,3106,5,0.49475922831535774,0.04349078341013825,0.967948717948718,0.5167263108759919,0.4832736891240081
YNL289W,-1,8.418242688729974,151,3322,3105,5,0.49460732188971596,0.043478260869565216,0.967948717948718,0.5168819044655361,0.483118095534464
YAL014C,-1,8.418168885014495,151,3323,3104,5,0.4944554154640741,0.043465745538284396,0.967948717948718,0.5170374980550801,0.48296250194491985
YPL076W,-1,8.415280300476166,151,3324,3103,5,0.49430350903843234,0.04345323741007194,0.967948717948718,0.5171930916446242,0.48280690835537576
YFR045W,-1,8.4122085094429,151,3325,3102,5,0.4941516026127905,0.04344073647871116,0.967948717948718,0.5173486852341683,0.4826513147658317
YAL058W,-1,8.400055745032844,151,3326,3101,5,0.49399969618714873,0.04342824273799252,0.967948717948718,0.5175042788237124,0.48249572117628753
YDR363W-A,-1,8.398799394841065,151,3327,3100,5,0.4938477897615069,0.04341575618171363,0.967948717948718,0.5176598724132566,0.48234012758674344
YHR074W,-1,8.397188408767578,151,3328,3099,5,0.4936958833358651,0.04340327680367922,0.967948717948718,0.5178154660028007,0.4821845339971993
YIL050W,-1,8.391750681411091,151,3329,3098,5,0.4935439769102233,0.04339080459770115,0.967948717948718,0.5179710595923448,0.4820289404076552
YDR034C-C,-1,8.37855657046907,151,3330,3097,5,0.4933920704845815,0.04337833955759839,0.967948717948718,0.5181266531818889,0.4818733468181111
YIL077C,-1,8.376560604626032,151,3331,3096,5,0.49324016405893967,0.043365881677197016,0.967948717948718,0.518282246771433,0.48171775322856697
YNL251C,-1,8.375167298087511,151,3332,3095,5,0.4930882576332979,0.043353430950330174,0.967948717948718,0.5184378403609772,0.4815621596390229
YOR133W,-1,8.358580739951243,151,3333,3094,5,0.4929363512076561,0.043340987370838115,0.967948717948718,0.5185934339505213,0.48140656604947873
YPR021C,-1,8.357663765241032,151,3334,3093,5,0.4927844447820143,0.04332855093256815,0.967948717948718,0.5187490275400654,0.48125097245993465
