Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YJR148W,0,0/0,-110.61972093582153,-67120.99315285683,40,0.020129130269654388,0.5196078431372549,0.538284998956812
YDR016C,-1,-/-,-110.62053298950195,-41260.36349916458,10,0.020121488230827638,0.5196078431372549,0.538493636553307
YDR264C,1,-/+,-110.62293720245361,-41700.14066553116,10,0.02049335863377609,0.5294117647058824,0.538493636553307
YGL154C,0,0/0,-110.6250991821289,-67182.52782309055,40,0.02049335863377609,0.5294117647058824,0.538493636553307
YHR015W,0,-/0,-110.63893508911133,-39975.93986129761,10,0.02049335863377609,0.5294117647058824,0.538493636553307
YLR088W,-1,-/-,-110.63913345336914,-41999.484961509705,10,0.0204855842185129,0.5294117647058824,0.5387022741498018
YGL212W,-1,-/-,-110.64352893829346,-40914.22464752197,10,0.020477815699658702,0.5294117647058824,0.5389109117462967
YBL008W,-1,-/-,-110.64355945587158,-40287.4209856987,10,0.02047005307050796,0.5294117647058824,0.5391195493427916
YHR101C,-1,0/-,-110.64739990234375,-66557.72887849808,40,0.02046229632436529,0.5294117647058824,0.5393281869392864
YNR026C,1,-/+,-110.65136337280273,-41566.63656425476,10,0.020833333333333332,0.5392156862745098,0.5393281869392864
YHR153C,-1,0/-,-110.66020393371582,-66096.13443768024,40,0.020825444907232107,0.5392156862745098,0.5395368245357813
YBR295W,-1,-/-,-110.66133403778076,-43347.172892570496,10,0.020817562452687358,0.5392156862745098,0.5397454621322763
YEL009C,-1,-/-,-110.66968441009521,-42912.412959098816,10,0.02080968596292092,0.5392156862745098,0.5399540997287712
YPR037C,-1,-/-,-110.67053318023682,-40685.98032999039,10,0.0208018154311649,0.5392156862745098,0.540162737325266
YHR098C,-1,-/-,-110.6748399734497,-42821.35289859772,10,0.020793950850661626,0.5392156862745098,0.5403713749217609
YJR155W,0,-/0,-110.6922435760498,-41960.573360443115,10,0.020793950850661626,0.5392156862745098,0.5403713749217609
YNR050C,0,0/0,-110.69473528862,-68448.76929020882,40,0.020793950850661626,0.5392156862745098,0.5403713749217609
YOR054C,-1,-/-,-110.70862293243408,-43042.4943113327,10,0.020786092214663644,0.5392156862745098,0.5405800125182558
YER183C,0,-/0,-110.7107343673706,-38954.72097015381,10,0.020786092214663644,0.5392156862745098,0.5405800125182558
YOR279C,-1,-/-,-110.71179962158203,-41223.20466518402,10,0.0207782395164337,0.5392156862745098,0.5407886501147506
YER141W,0,0/0,-110.71935081481934,-66881.30733835697,40,0.0207782395164337,0.5392156862745098,0.5407886501147506
YMR022W,-1,-/-,-110.72905731201172,-42124.66096448898,10,0.020770392749244714,0.5392156862745098,0.5409972877112456
YFL004W,-1,-/-,-110.73093891143799,-42139.10776901245,10,0.020762551906379767,0.5392156862745098,0.5412059253077405
YNR030W,-1,-/-,-110.73625755310059,-40549.80275440216,10,0.020754716981132074,0.5392156862745098,0.5414145629042354
YJL072C,-1,-/-,-110.73916244506836,-41076.1826877594,10,0.02074688796680498,0.5392156862745098,0.5416232005007302
YGL244W,-1,-/-,-110.74436378479004,-41848.9204583168,10,0.020739064856711915,0.5392156862745098,0.5418318380972251
YGL112C,-1,-/-,-110.74731063842773,-41739.50414419174,10,0.020731247644176404,0.5392156862745098,0.54204047569372
YCR005C,-1,-/-,-110.75739479064941,-42590.996287345886,10,0.020723436322532027,0.5392156862745098,0.5422491132902149
YFL025C,-1,-/-,-110.75751304626465,-40550.71036577225,10,0.02071563088512241,0.5392156862745098,0.5424577508867098
YOR158W,-1,0/-,-110.7588381767273,-65453.784630298615,40,0.020707831325301206,0.5392156862745098,0.5426663884832047
YHR026W,-1,-/-,-110.76535129547119,-40986.79898929596,10,0.020700037636432068,0.5392156862745098,0.5428750260796995
YKR082W,-1,-/-,-110.76842021942139,-42371.35954999924,10,0.02069224981188864,0.5392156862745098,0.5430836636761944
YGL001C,-1,-/-,-110.77144050598145,-41397.25139904022,10,0.02068446784505453,0.5392156862745098,0.5432923012726893
YPL204W,1,-/+,-110.77728843688965,-42264.32608270645,10,0.021052631578947368,0.5490196078431373,0.5432923012726893
YDR493W,-1,0/-,-110.78600978851318,-64638.395822644234,40,0.021044720030063885,0.5490196078431373,0.5435009388691843
YBL084C,-1,-/-,-110.79170417785645,-41250.195194244385,10,0.021036814425244178,0.5490196078431373,0.5437095764656791
YJL212C,-1,0/-,-110.79260873794556,-66787.54031527042,40,0.021028914757791964,0.5490196078431373,0.543918214062174
YLR300W,-1,0/-,-110.79312920570374,-67475.7084350586,40,0.021021021021021023,0.5490196078431373,0.5441268516586689
YLR312W-A,-1,0/-,-110.79742813110352,-63402.29111337662,40,0.02101313320825516,0.5490196078431373,0.5443354892551637
YER048C,-1,0/-,-110.79753565788269,-65955.62570023537,40,0.021005251312828207,0.5490196078431373,0.5445441268516586
YML012W,-1,-/-,-110.80996036529541,-42578.53941202164,10,0.02099737532808399,0.5490196078431373,0.5447527644481536
YDL229W,-1,-/-,-110.81377601623535,-42025.912204265594,10,0.020989505247376312,0.5490196078431373,0.5449614020446485
YPL063W,-1,-/-,-110.8262996673584,-41838.96804857254,10,0.02098164106406894,0.5490196078431373,0.5451700396411433
YPL011C,-1,-/-,-110.82996559143066,-40759.15285682678,10,0.020973782771535582,0.5490196078431373,0.5453786772376382
YMR009W,0,0/0,-110.83379173278809,-65889.39559841156,40,0.020973782771535582,0.5490196078431373,0.5453786772376382
YJR151C,-1,0/-,-110.83742046356201,-66841.4150519371,40,0.020965930363159864,0.5490196078431373,0.5455873148341331
YJR135C,-1,-/-,-110.84875869750977,-40034.71040678024,10,0.020958083832335328,0.5490196078431373,0.545795952430628
YGL017W,-1,-/-,-110.85878372192383,-41586.52962207794,10,0.020950243172465393,0.5490196078431373,0.5460045900271229
YHR008C,-1,-/-,-110.867262840271,-41382.89068031311,10,0.020942408376963352,0.5490196078431373,0.5462132276236178
YPL089C,-1,-/-,-110.87372875213623,-40832.56554222107,10,0.020934579439252338,0.5490196078431373,0.5464218652201127
YMR307W,-1,0/-,-110.87552499771118,-66540.48919165134,40,0.02092675635276532,0.5490196078431373,0.5466305028166075
YHR185C,-1,0/-,-110.87577962875366,-62746.323778152466,40,0.020918939110945087,0.5490196078431373,0.5468391404131024
YOL065C,-1,-/-,-110.87716102600098,-43140.57383918762,10,0.020911127707244213,0.5490196078431373,0.5470477780095974
YOR308C,-1,-/-,-110.87718868255615,-41547.169988155365,10,0.020903322135125045,0.5490196078431373,0.5472564156060922
YDR099W,-1,-/-,-110.88587379455566,-42996.034811496735,10,0.020895522388059702,0.5490196078431373,0.5474650532025871
YOR243C,-1,-/-,-110.89440727233887,-42684.92553520203,10,0.020887728459530026,0.5490196078431373,0.547673690799082
YGR106C,0,0/0,-110.90573930740356,-64973.08580374718,40,0.020887728459530026,0.5490196078431373,0.547673690799082
YJR035W,-1,-/-,-110.90662097930908,-42023.258972644806,10,0.020879940343027592,0.5490196078431373,0.5478823283955769
YLL028W,-1,0/-,-110.91009783744812,-66043.77725505829,40,0.02087215803205367,0.5490196078431373,0.5480909659920717
YHL030W,-1,0/-,-110.91128063201904,-67233.48043560982,40,0.020864381520119227,0.5490196078431373,0.5482996035885667
YCR019W,0,0/0,-110.91526341438293,-63978.69315433502,40,0.020864381520119227,0.5490196078431373,0.5482996035885667
YBL099W,-1,-/-,-110.91637325286865,-42800.04809761047,10,0.020856610800744878,0.5490196078431373,0.5485082411850616
YNL163C,-1,-/-,-110.91868877410889,-43944.05301952362,10,0.02084884586746091,0.5490196078431373,0.5487168787815564
YDL220C,-1,-/-,-110.92089939117432,-41737.09612035751,10,0.02084108671380722,0.5490196078431373,0.5489255163780513
YPR079W,0,0/0,-110.92919945716858,-67934.87720298767,40,0.02084108671380722,0.5490196078431373,0.5489255163780513
YOR116C,-1,-/-,-110.92939472198486,-42956.95153713226,10,0.020833333333333332,0.5490196078431373,0.5491341539745462
YHL032C,-1,0/-,-110.93182373046875,-67267.88230204582,40,0.020825585719598364,0.5490196078431373,0.5493427915710412
YPL104W,-1,0/-,-110.9397222995758,-66395.34420359135,40,0.020817843866171002,0.5490196078431373,0.549551429167536
YER147C,-1,-/-,-110.94802951812744,-41368.90654850006,10,0.020810107766629504,0.5490196078431373,0.5497600667640309
YHR063C,-1,0/-,-110.95044255256653,-66725.55216121674,40,0.020802377414561663,0.5490196078431373,0.5499687043605258
YCL054W,-1,-/-,-110.9536361694336,-42489.90614652634,10,0.0207946528035648,0.5490196078431373,0.5501773419570206
YCL067C,-1,-/-,-110.95672035217285,-42057.46869850159,10,0.020786933927245732,0.5490196078431373,0.5503859795535155
YDR422C,-1,-/-,-110.95746994018555,-41219.006296634674,10,0.02077922077922078,0.5490196078431373,0.5505946171500105
YPR112C,-1,-/-,-110.95857620239258,-42520.40476179123,10,0.020771513353115726,0.5490196078431373,0.5508032547465053
YNR027W,-1,-/-,-110.97562789916992,-42585.944662094116,10,0.020763811642565813,0.5490196078431373,0.5510118923430002
YBR162W-A,-1,0/-,-110.97580289840698,-65535.16955661774,40,0.020756115641215715,0.5490196078431373,0.5512205299394951
YCR020C-A,-1,-/-,-110.9830322265625,-40703.65375328064,10,0.020748425342719527,0.5490196078431373,0.55142916753599
YPL166W,-1,0/-,-110.99096608161926,-66683.14576876163,40,0.02074074074074074,0.5490196078431373,0.5516378051324848
YDL123W,0,0/0,-110.99316096305847,-68237.22119057178,40,0.02074074074074074,0.5490196078431373,0.5516378051324848
YER154W,-1,-/-,-110.99835205078125,-40284.024638175964,10,0.02073306182895224,0.5490196078431373,0.5518464427289798
YGL044C,-1,-/-,-110.99990272521973,-42363.69427537918,10,0.02072538860103627,0.5490196078431373,0.5520550803254747
YBR201W,-1,-/-,-111.00242614746094,-40819.984253406525,10,0.020717721050684423,0.5490196078431373,0.5522637179219695
YPR009W,-1,-/-,-111.01734256744385,-41649.892765522,10,0.020710059171597635,0.5490196078431373,0.5524723555184644
YLR423C,-1,-/-,-111.03474044799805,-41181.4340133667,10,0.020702402957486137,0.5490196078431373,0.5526809931149593
YLR135W,-1,-/-,-111.03507804870605,-40381.6168422699,10,0.020694752402069475,0.5490196078431373,0.5528896307114542
YHR070W,-1,-/-,-111.03823947906494,-43584.74353265762,10,0.020687107499076467,0.5490196078431373,0.5530982683079491
YDR079W,-1,-/-,-111.0443754196167,-42075.88829040527,10,0.0206794682422452,0.5490196078431373,0.553306905904444
YNL168C,0,0/0,-111.04556608200073,-65917.95743715763,40,0.0206794682422452,0.5490196078431373,0.553306905904444
YML067C,-1,-/-,-111.0554552078247,-40485.7524933815,10,0.020671834625323,0.5490196078431373,0.5535155435009389
YMR205C,-1,0/-,-111.06489729881287,-67748.98305773735,40,0.020664206642066422,0.5490196078431373,0.5537241810974337
YIL094C,0,0/0,-111.06530499458313,-68860.01166677475,40,0.020664206642066422,0.5490196078431373,0.5537241810974337
YKL185W,-1,-/-,-111.08610343933105,-41379.452630996704,10,0.020656584286241238,0.5490196078431373,0.5539328186939286
YPR201W,-1,-/-,-111.091552734375,-40734.257328510284,10,0.02064896755162242,0.5490196078431373,0.5541414562904236
YBL038W,-1,0/-,-111.09645700454712,-65743.18068659306,40,0.020641356431994103,0.5490196078431373,0.5543500938869185
YCR104W,-1,0/-,-111.09814715385437,-67024.40535259247,40,0.020633750921149593,0.5490196078431373,0.5545587314834133
YIL043C,-1,0/-,-111.1005322933197,-66267.08264780045,40,0.020626151012891343,0.5490196078431373,0.5547673690799082
YDR225W,-1,-/-,-111.10244464874268,-39516.077087402344,10,0.020618556701030927,0.5490196078431373,0.5549760066764031
YMR278W,-1,0/-,-111.10796761512756,-67736.22356212139,40,0.020610967979389033,0.5490196078431373,0.5551846442728979
YKL160W,-1,-/-,-111.12118721008301,-40351.95174074173,10,0.020603384841795438,0.5490196078431373,0.5553932818693929
YLR094C,-1,0/-,-111.12353253364563,-66728.94801139832,40,0.020595807282089002,0.5490196078431373,0.5556019194658878
YER018C,-1,-/-,-111.13473320007324,-41182.41051006317,10,0.020588235294117647,0.5490196078431373,0.5558105570623827
YNL099C,-1,-/-,-111.1383752822876,-40939.541847229004,10,0.02058066887173833,0.5490196078431373,0.5560191946588775
YOL144W,-1,-/-,-111.14669036865234,-43027.8511800766,10,0.020573108008817047,0.5490196078431373,0.5562278322553724
YPL030W,-1,0/-,-111.14719271659851,-70382.42821800709,40,0.02056555269922879,0.5490196078431373,0.5564364698518673
YKL043W,-1,-/-,-111.15518760681152,-42276.54596614838,10,0.020558002936857563,0.5490196078431373,0.5566451074483622
YJL200C,-1,0/-,-111.16654944419861,-69930.75666761398,40,0.02055045871559633,0.5490196078431373,0.5568537450448571
YOL061W,-1,-/-,-111.17806625366211,-42468.057522296906,10,0.020542920029347028,0.5490196078431373,0.557062382641352
YCR071C,-1,-/-,-111.17907905578613,-40121.166048526764,10,0.020535386872020535,0.5490196078431373,0.5572710202378469
YHL029C,0,0/0,-111.18419480323792,-65952.6680636406,40,0.020535386872020535,0.5490196078431373,0.5572710202378469
YDL067C,-1,0/-,-111.18685245513916,-66501.46187770367,40,0.020527859237536656,0.5490196078431373,0.5574796578343417
YPL209C,-1,-/-,-111.19281196594238,-41292.899518966675,10,0.020520337119824112,0.5490196078431373,0.5576882954308366
YLR079W,-1,-/-,-111.1949348449707,-40370.6720995903,10,0.020512820512820513,0.5490196078431373,0.5578969330273316
YER081W,0,0/0,-111.2070484161377,-65962.47953164577,40,0.020512820512820513,0.5490196078431373,0.5578969330273316
YPL153C,-1,-/-,-111.20961284637451,-41156.69094324112,10,0.020505309410472353,0.5490196078431373,0.5581055706238264
YDL090C,0,-/0,-111.20981025695801,-42528.40042877197,10,0.020505309410472353,0.5490196078431373,0.5581055706238264
YER086W,0,0/0,-111.21565008163452,-67006.75383841991,40,0.020505309410472353,0.5490196078431373,0.5581055706238264
YGR285C,-1,-/-,-111.2185583114624,-41927.88118505478,10,0.020497803806734993,0.5490196078431373,0.5583142082203213
YBR161W,-1,-/-,-111.22301197052002,-41896.143411159515,10,0.020490303695572632,0.5490196078431373,0.5585228458168162
YGL143C,-1,-/-,-111.22585773468018,-40421.206104278564,10,0.020482809070958303,0.5490196078431373,0.558731483413311
YDL188C,-1,-/-,-111.2274923324585,-40563.27527666092,10,0.020475319926873858,0.5490196078431373,0.558940121009806
YKL126W,1,-/+,-111.22877502441406,-42851.139523983,10,0.020833333333333332,0.5588235294117647,0.558940121009806
YBR131W,-1,-/-,-111.23331642150879,-40567.21875667572,10,0.02082572159298502,0.5588235294117647,0.5591487586063009
YPL244C,-1,-/-,-111.24131870269775,-42003.82156419754,10,0.020818115412710007,0.5588235294117647,0.5593573962027958
YNL332W,-1,-/-,-111.2472677230835,-41736.947415828705,10,0.0208105147864184,0.5588235294117647,0.5595660337992906
YDR331W,-1,-/-,-111.25163269042969,-42426.24311542511,10,0.020802919708029197,0.5588235294117647,0.5597746713957855
YGL201C,-1,-/-,-111.25529479980469,-41710.51133584976,10,0.020795330171470266,0.5588235294117647,0.5599833089922804
YBR003W,-1,0/-,-111.25724220275879,-67414.32848715782,40,0.020787746170678335,0.5588235294117647,0.5601919465887752
YJL115W,-1,-/-,-111.28039836883545,-42818.428149700165,10,0.020780167699598978,0.5588235294117647,0.5604005841852702
YDR410C,-1,0/-,-111.28178334236145,-64513.489694833755,40,0.02077259475218659,0.5588235294117647,0.5606092217817651
YDR253C,-1,0/-,-111.28437972068787,-65135.464215278625,40,0.020765027322404372,0.5588235294117647,0.56081785937826
YJR094C,-1,-/-,-111.28645706176758,-41382.78394985199,10,0.020757465404224327,0.5588235294117647,0.5610264969747548
YNL183C,1,0/+,-111.29585766792297,-67565.84162068367,40,0.021113942482708408,0.5686274509803921,0.5610264969747548
YDR117C,-1,0/-,-111.30026698112488,-67293.52658557892,40,0.021106259097525473,0.5686274509803921,0.5612351345712497
YIL156W,-1,0/-,-111.30275201797485,-63709.314239382744,40,0.021098581302291742,0.5686274509803921,0.5614437721677447
YOR264W,0,0/0,-111.30916023254395,-65146.1669447422,40,0.021098581302291742,0.5686274509803921,0.5614437721677447
YFL053W,-1,0/-,-111.3162579536438,-65935.77166759968,40,0.02109090909090909,0.5686274509803921,0.5616524097642395
YHR175W,-1,-/-,-111.32647323608398,-40845.65911102295,10,0.021083242457288258,0.5686274509803921,0.5618610473607344
YDR275W,0,0/0,-111.32741856575012,-66946.46901190281,40,0.021083242457288258,0.5686274509803921,0.5618610473607344
YKR026C,-1,-/-,-111.3332052230835,-44150.82592535019,10,0.021075581395348836,0.5686274509803921,0.5620696849572293
YBR122C,-1,0/-,-111.33419609069824,-65271.316378474236,40,0.021067925899019253,0.5686274509803921,0.5622783225537242
YNL002C,-1,-/-,-111.3356819152832,-43822.43303537369,10,0.021060275962236745,0.5686274509803921,0.562486960150219
YDR519W,-1,0/-,-111.33657908439636,-66083.10082268715,40,0.021052631578947368,0.5686274509803921,0.562695597746714
YOR286W,0,0/0,-111.34169292449951,-66136.86901021004,40,0.021052631578947368,0.5686274509803921,0.562695597746714
YIL065C,-1,-/-,-111.34359359741211,-42482.48934650421,10,0.02104499274310595,0.5686274509803921,0.5629042353432089
YER014W,0,0/0,-111.34541034698486,-66218.55440330505,40,0.02104499274310595,0.5686274509803921,0.5629042353432089
YNL023C,-1,-/-,-111.34661293029785,-42403.17160606384,10,0.0210373594486761,0.5686274509803921,0.5631128729397037
YBR155W,-1,-/-,-111.34764099121094,-43329.13694858551,10,0.02102973168963017,0.5686274509803921,0.5633215105361986
YNR037C,-1,0/-,-111.34889078140259,-66233.8877581358,40,0.021022109459949256,0.5686274509803921,0.5635301481326935
YDR406W,-1,0/-,-111.35884881019592,-66235.91009604931,40,0.021014492753623187,0.5686274509803921,0.5637387857291885
YMR261C,-1,0/-,-111.36320900917053,-68151.5508133173,40,0.021006881564650488,0.5686274509803921,0.5639474233256833
YGL066W,1,-/+,-111.36355781555176,-42035.431612968445,10,0.021361332367849383,0.5784313725490197,0.5639474233256833
YJL125C,-1,-/-,-111.36452865600586,-42655.49611854553,10,0.021353601158161418,0.5784313725490197,0.5641560609221782
YHR047C,0,0/0,-111.36972784996033,-66024.46479666233,40,0.021353601158161418,0.5784313725490197,0.5641560609221782
YNL123W,-1,-/-,-111.3727388381958,-42619.610938072205,10,0.02134587554269175,0.5784313725490197,0.5643646985186731
YLR237W,-1,0/-,-111.37410473823547,-67145.2479171753,40,0.021338155515370705,0.5784313725490197,0.5645733361151679
YPR007C,-1,-/-,-111.39398765563965,-41292.25175380707,10,0.021330441070137384,0.5784313725490197,0.5647819737116628
YOL123W,-1,-/-,-111.40354824066162,-42874.67483186722,10,0.021322732200939647,0.5784313725490197,0.5649906113081578
YBR069C,-1,-/-,-111.40426731109619,-40846.401780605316,10,0.021315028901734104,0.5784313725490197,0.5651992489046527
YDR004W,-1,-/-,-111.41031646728516,-42257.039276599884,10,0.021307331166486095,0.5784313725490197,0.5654078865011475
YPL015C,-1,-/-,-111.41194152832031,-42094.29785776138,10,0.021299638989169676,0.5784313725490197,0.5656165240976424
YNL075W,-1,-/-,-111.41582870483398,-42623.692615032196,10,0.021291952363767592,0.5784313725490197,0.5658251616941373
YML051W,-1,-/-,-111.4159688949585,-41179.655556201935,10,0.021284271284271284,0.5784313725490197,0.5660337992906321
YOR084W,-1,-/-,-111.42883968353271,-39623.24266195297,10,0.02127659574468085,0.5784313725490197,0.566242436887127
YLR227C,-1,0/-,-111.43468523025513,-66662.73696005344,40,0.021268925739005046,0.5784313725490197,0.566451074483622
YPL173W,-1,0/-,-111.44597339630127,-65323.460574269295,40,0.021261261261261263,0.5784313725490197,0.5666597120801168
YFR022W,1,0/+,-111.45057582855225,-67037.65304660797,40,0.021613832853025938,0.5882352941176471,0.5666597120801168
YDR342C,-1,-/-,-111.45406150817871,-41202.90960454941,10,0.021606049693914296,0.5882352941176471,0.5668683496766117
YLR093C,-1,0/-,-111.45859694480896,-67629.00349032879,40,0.02159827213822894,0.5882352941176471,0.5670769872731066
YLR363C,-1,-/-,-111.4594554901123,-43312.1512260437,10,0.021590500179920834,0.5882352941176471,0.5672856248696015
YOR320C,-1,-/-,-111.46294689178467,-42070.986672878265,10,0.02158273381294964,0.5882352941176471,0.5674942624660964
YCL064C,0,0/0,-111.46716737747192,-67198.88489794731,40,0.02158273381294964,0.5882352941176471,0.5674942624660964
YPL045W,-1,-/-,-111.47091102600098,-41266.39408969879,10,0.021574973031283712,0.5882352941176471,0.5677029000625913
YER145C,-1,-/-,-111.48254489898682,-43055.5748295784,10,0.021567217828900073,0.5882352941176471,0.5679115376590862
YGL134W,-1,0/-,-111.485844373703,-66367.59077429771,40,0.021559468199784406,0.5882352941176471,0.568120175255581
YMR213W,-1,-/-,-111.48728656768799,-41428.75710725784,10,0.021551724137931036,0.5882352941176471,0.5683288128520759
YOL066C,-1,-/-,-111.496750831604,-42059.13379716873,10,0.02154398563734291,0.5882352941176471,0.5685374504485708
YKL057C,-1,-/-,-111.50083827972412,-41322.45740556717,10,0.021536252692031587,0.5882352941176471,0.5687460880450658
YJL179W,-1,-/-,-111.50718879699707,-42405.616483688354,10,0.021528525296017224,0.5882352941176471,0.5689547256415606
YLR034C,-1,-/-,-111.51125621795654,-42189.486999988556,10,0.021520803443328552,0.5882352941176471,0.5691633632380555
YPR107C,-1,-/-,-111.51920986175537,-41778.430656433105,10,0.02151308712800287,0.5882352941176471,0.5693720008345504
YJL071W,0,-/0,-111.53607845306396,-41373.59447145462,10,0.02151308712800287,0.5882352941176471,0.5693720008345504
YKL173W,-1,-/-,-111.54340648651123,-41411.20822048187,10,0.021505376344086023,0.5882352941176471,0.5695806384310452
YPL057C,-1,-/-,-111.5461483001709,-40974.805737018585,10,0.02149767108563239,0.5882352941176471,0.5697892760275401
