Used 2009 Datasets
Initialized Expression Datasets
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/RandomInputs_original/Original_x_b_113x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/RandomInputs_original/Original_x_b_113x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 353.35258769989014
Time for 100 Batches: 0.3710053086280823
100 Batch Cumulative Loss: 356.3823091983795
Time for 100 Batches: 0.3702466448148092
100 Batch Cumulative Loss: 357.9786536693573
Time for 100 Batches: 0.3662199378013611
100 Batch Cumulative Loss: 355.0864100456238
Time for 100 Batches: 0.369848903020223
100 Batch Cumulative Loss: 353.2451796531677
Time for 100 Batches: 0.368589723110199
100 Batch Cumulative Loss: 354.3713517189026
Time for 100 Batches: 0.368688178062439
100 Batch Cumulative Loss: 354.1742014884949
Time for 100 Batches: 0.3702707091967265
100 Batch Cumulative Loss: 348.8014328479767
Time for 100 Batches: 0.3730470935503642
100 Batch Cumulative Loss: 350.62830901145935
Time for 100 Batches: 0.36942882935206095
100 Batch Cumulative Loss: 349.93281960487366
Time for 100 Batches: 0.3711838682492574
100 Batch Cumulative Loss: 356.7781970500946
Time for 100 Batches: 0.369341250260671
100 Batch Cumulative Loss: 345.4972093105316
Time for 100 Batches: 0.3750774105389913
100 Batch Cumulative Loss: 345.86678099632263
Time for 100 Batches: 0.36985839207967125
100 Batch Cumulative Loss: 352.56778049468994
Time for 100 Batches: 0.3676433841387431
100 Batch Cumulative Loss: 344.6968398094177
Time for 100 Batches: 0.36842689116795857
100 Batch Cumulative Loss: 344.536728143692
Time for 100 Batches: 0.36745927333831785
100 Batch Cumulative Loss: 354.36008477211
Time for 100 Batches: 0.3730997641881307
100 Batch Cumulative Loss: 350.79806113243103
Time for 100 Batches: 0.36982776323954264
100 Batch Cumulative Loss: 344.760888338089
Time for 100 Batches: 0.3704172094662984
100 Batch Cumulative Loss: 347.55121874809265
Time for 100 Batches: 0.37292800744374593
100 Batch Cumulative Loss: 347.04552721977234
Time for 100 Batches: 0.36747603813807167
100 Batch Cumulative Loss: 343.7563076019287
Time for 100 Batches: 0.37021517753601074
100 Batch Cumulative Loss: 349.6923189163208
Time for 100 Batches: 0.36926052570343015
100 Batch Cumulative Loss: 346.46683502197266
Time for 100 Batches: 0.3679139852523804
100 Batch Cumulative Loss: 346.88404989242554
Time for 100 Batches: 0.3754005471865336
100 Batch Cumulative Loss: 338.1626777648926
Time for 100 Batches: 0.36971560716629026
100 Batch Cumulative Loss: 343.93882274627686
Time for 100 Batches: 0.36917683283487956
100 Batch Cumulative Loss: 344.56457591056824
Time for 100 Batches: 0.36452250480651854
100 Batch Cumulative Loss: 341.99147391319275
Time for 100 Batches: 0.37237853606541954
100 Batch Cumulative Loss: 340.9354064464569
Time for 100 Batches: 0.36762870152791344
100 Batch Cumulative Loss: 338.16183853149414
Time for 100 Batches: 0.366568132241567
100 Batch Cumulative Loss: 343.0128848552704
Time for 100 Batches: 0.3668136199315389
100 Batch Cumulative Loss: 339.02105236053467
Time for 100 Batches: 0.3710619648297628
100 Batch Cumulative Loss: 341.67596650123596
Time for 100 Batches: 0.37045055627822876
100 Batch Cumulative Loss: 343.56521105766296
Time for 100 Batches: 0.3732746879259745
100 Batch Cumulative Loss: 332.6826584339142
Time for 100 Batches: 0.37339204947153726
100 Batch Cumulative Loss: 339.1051137447357
Time for 100 Batches: 0.3686200022697449
100 Batch Cumulative Loss: 339.18289375305176
Time for 100 Batches: 0.3697307864824931
100 Batch Cumulative Loss: 340.5514624118805
Time for 100 Batches: 0.3730145255724589
100 Batch Cumulative Loss: 343.2345552444458
Time for 100 Batches: 0.371032190322876
100 Batch Cumulative Loss: 335.79303193092346
Time for 100 Batches: 0.36961384614308673
100 Batch Cumulative Loss: 342.40405678749084
Time for 100 Batches: 0.3739992300669352
100 Batch Cumulative Loss: 343.46053409576416
Time for 100 Batches: 0.3683202544848124
100 Batch Cumulative Loss: 340.3742690086365
Time for 100 Batches: 0.37066444953282673
100 Batch Cumulative Loss: 332.1890444755554
Time for 100 Batches: 0.36943071683247886
100 Batch Cumulative Loss: 335.73459649086
Time for 100 Batches: 0.36725195646286013
100 Batch Cumulative Loss: 336.3717186450958
Time for 100 Batches: 0.3733464519182841
100 Batch Cumulative Loss: 333.1551306247711
Time for 100 Batches: 0.3734721938769023
100 Batch Cumulative Loss: 337.1706802845001
Time for 100 Batches: 0.3690005858739217
100 Batch Cumulative Loss: 332.8207347393036
Time for 100 Batches: 0.3721005439758301
100 Batch Cumulative Loss: 334.8714027404785
Time for 100 Batches: 0.3713781992594401
100 Batch Cumulative Loss: 340.08916425704956
Time for 100 Batches: 0.3719332893689474
100 Batch Cumulative Loss: 335.3119876384735
Time for 100 Batches: 0.37077382802963255
100 Batch Cumulative Loss: 335.7523241043091
Time for 100 Batches: 0.3707988739013672
100 Batch Cumulative Loss: 332.61296820640564
Time for 100 Batches: 0.3668838699658712
100 Batch Cumulative Loss: 333.90589451789856
Time for 100 Batches: 0.3760217746098836
100 Batch Cumulative Loss: 329.0989863872528
Time for 100 Batches: 0.37301324208577474
100 Batch Cumulative Loss: 333.90519762039185
Time for 100 Batches: 0.37953002055486046
100 Batch Cumulative Loss: 332.6899151802063
Time for 100 Batches: 0.3670221209526062
100 Batch Cumulative Loss: 332.14550733566284
Time for 100 Batches: 0.3718692978223165
100 Batch Cumulative Loss: 332.653178691864
Time for 100 Batches: 0.36910440524419147
100 Batch Cumulative Loss: 330.85259532928467
Time for 100 Batches: 0.37161078850428264
100 Batch Cumulative Loss: 331.3854024410248
Time for 100 Batches: 0.3659330646197001
100 Batch Cumulative Loss: 329.53776931762695
Time for 100 Batches: 0.36340248584747314
100 Batch Cumulative Loss: 330.97951006889343
Time for 100 Batches: 0.3759041706720988
100 Batch Cumulative Loss: 328.55080795288086
Time for 100 Batches: 0.3686945637067159
100 Batch Cumulative Loss: 326.2104527950287
Time for 100 Batches: 0.36665178537368776
100 Batch Cumulative Loss: 326.34472823143005
Time for 100 Batches: 0.36618403991063436
100 Batch Cumulative Loss: 333.05949997901917
Time for 100 Batches: 0.3721522053082784
100 Batch Cumulative Loss: 329.7390081882477
Time for 100 Batches: 0.36883993943532306
100 Batch Cumulative Loss: 326.9374027252197
Time for 100 Batches: 0.3711861729621887
100 Batch Cumulative Loss: 326.4653251171112
Time for 100 Batches: 0.37157133022944133
100 Batch Cumulative Loss: 332.5150284767151
Time for 100 Batches: 0.37419931491216024
100 Batch Cumulative Loss: 324.90865755081177
Time for 100 Batches: 0.37161554098129274
100 Batch Cumulative Loss: 326.26542472839355
Time for 100 Batches: 0.37380661169687907
100 Batch Cumulative Loss: 324.62477684020996
Time for 100 Batches: 0.3677552421887716
100 Batch Cumulative Loss: 328.3375155925751
Time for 100 Batches: 0.37017616430918376
100 Batch Cumulative Loss: 326.10611271858215
Time for 100 Batches: 0.367862856388092
100 Batch Cumulative Loss: 326.75318932533264
Time for 100 Batches: 0.3666765451431274
100 Batch Cumulative Loss: 326.68267345428467
Time for 100 Batches: 0.3716763814290365
100 Batch Cumulative Loss: 325.5550389289856
Time for 100 Batches: 0.36897738377253214
100 Batch Cumulative Loss: 327.3071095943451
Time for 100 Batches: 0.36612661282221476
100 Batch Cumulative Loss: 323.18028831481934
Time for 100 Batches: 0.369416344165802
100 Batch Cumulative Loss: 328.46643805503845
Time for 100 Batches: 0.37065395911534627
100 Batch Cumulative Loss: 320.72007751464844
Time for 100 Batches: 0.3816570401191711
100 Batch Cumulative Loss: 320.0205235481262
Time for 100 Batches: 0.36973028580347694
100 Batch Cumulative Loss: 324.8799538612366
Time for 100 Batches: 0.3687380750974019
100 Batch Cumulative Loss: 323.7850503921509
Time for 100 Batches: 0.37065510749816893
100 Batch Cumulative Loss: 320.0003321170807
Time for 100 Batches: 0.3717713514963786
100 Batch Cumulative Loss: 320.56586742401123
Time for 100 Batches: 0.36851909160614016
100 Batch Cumulative Loss: 321.8993170261383
Time for 100 Batches: 0.37016931374867756
100 Batch Cumulative Loss: 319.8583927154541
Time for 100 Batches: 0.3708817481994629
100 Batch Cumulative Loss: 322.73834800720215
Time for 100 Batches: 0.37289977868398033
100 Batch Cumulative Loss: 319.02852725982666
Time for 100 Batches: 0.3731517871220907
100 Batch Cumulative Loss: 312.0472557544708
Time for 100 Batches: 0.37495198647181194
100 Batch Cumulative Loss: 317.72274947166443
Time for 100 Batches: 0.37079724073410036
100 Batch Cumulative Loss: 318.73385739326477
Time for 100 Batches: 0.37446937163670857
100 Batch Cumulative Loss: 322.3820402622223
Time for 100 Batches: 0.37203643321990965
100 Batch Cumulative Loss: 321.4976005554199
Time for 100 Batches: 0.36863640149434407
100 Batch Cumulative Loss: 322.10387206077576
Time for 100 Batches: 0.3706347823143005
100 Batch Cumulative Loss: 320.32323575019836
